Un_ID,Timepoint,Block_plot,Herbivory_trt,Coral_Id,Coral_Genus,Enrichment_trt,Size,Recruitment,Alive,Recruitment_timepoint
A4_3X3_P06,T9,A4,3X3,P06,Pocillopora,Ambient,6.203,0,1,T3
A4_3X3_P06,T3,A4,3X3,P06,Pocillopora,Ambient,2.118,1,1,T3
A4_3X3_P06,T6,A4,3X3,P06,Pocillopora,Ambient,4.392,0,1,T3
A4_3X3_P07,T9,A4,3X3,P07,Pocillopora,Ambient,NA,0,0,T0
A4_3X3_P07,T3,A4,3X3,P07,Pocillopora,Ambient,NA,0,0,T0
A4_3X3_P07,T0,A4,3X3,P07,Pocillopora,Ambient,NA,1,1,T0
A4_3X3_P07,T6,A4,3X3,P07,Pocillopora,Ambient,NA,0,0,T0
A4_3X3_P08,T9,A4,3X3,P08,Pocillopora,Ambient,3.719,0,1,T3
A4_3X3_P08,T3,A4,3X3,P08,Pocillopora,Ambient,0.662,1,1,T3
A4_3X3_P08,T6,A4,3X3,P08,Pocillopora,Ambient,1.883,0,1,T3
A4_3X3_P09,T9,A4,3X3,P09,Pocillopora,Ambient,4.722,0,1,T6
A4_3X3_P09,T6,A4,3X3,P09,Pocillopora,Ambient,2.395,1,1,T6
A4_open_P01,T9,A4,open,P01,Pocillopora,Ambient,8.979,0,1,T3
A4_open_P01,T3,A4,open,P01,Pocillopora,Ambient,3.204,1,1,T3
A4_open_P01,T6,A4,open,P01,Pocillopora,Ambient,6.181,0,1,T3
A4_open_P12,T6,A4,open,P12,Pocillopora,Ambient,1.048,1,1,T6
A4_open_P12,T9,A4,open,P12,Pocillopora,Ambient,2.244,0,1,T6
A4_open_P13,T6,A4,open,P13,Pocillopora,Ambient,0.951,1,1,T6
A4_open_P13,T9,A4,open,P13,Pocillopora,Ambient,3.31,0,1,T6
A4_open_P14,T6,A4,open,P14,Pocillopora,Ambient,1.369,1,1,T6
A4_open_P14,T9,A4,open,P14,Pocillopora,Ambient,2.752,0,1,T6
A4_open_P06,T6,A4,open,P06,Pocillopora,Ambient,2.842,1,1,T6
A4_open_P06,T9,A4,open,P06,Pocillopora,Ambient,4.712,0,1,T6
B1_1X1_P01,T6,B1,1X1,P01,Pocillopora,Enriched,3.344,0,1,T3
B1_1X1_P01,T3,B1,1X1,P01,Pocillopora,Enriched,1.533,1,1,T3
B1_1X1_P01,T9,B1,1X1,P01,Pocillopora,Enriched,7.059,0,1,T3
B1_1X1_P10,T6,B1,1X1,P10,Pocillopora,Enriched,4.279,1,1,T6
B1_1X1_P10,T9,B1,1X1,P10,Pocillopora,Enriched,7.47,0,1,T6
B1_1X1_P11,T6,B1,1X1,P11,Pocillopora,Enriched,2.241,1,1,T6
B1_1X1_P11,T9,B1,1X1,P11,Pocillopora,Enriched,2.964,0,1,T6
B1_1X1_P02,T3,B1,1X1,P02,Pocillopora,Enriched,5.172,0,1,T0
B1_1X1_P02,T6,B1,1X1,P02,Pocillopora,Enriched,11.194,0,1,T0
B1_1X1_P02,T0,B1,1X1,P02,Pocillopora,Enriched,NA,1,1,T0
B1_1X1_P02,T9,B1,1X1,P02,Pocillopora,Enriched,16.25,0,1,T0
B1_1X1_P03,T6,B1,1X1,P03,Pocillopora,Enriched,6.104,0,1,T3
B1_1X1_P03,T3,B1,1X1,P03,Pocillopora,Enriched,4.163,1,1,T3
B1_1X1_P03,T9,B1,1X1,P03,Pocillopora,Enriched,9.035,0,1,T3
B1_1X1_P04,T3,B1,1X1,P04,Pocillopora,Enriched,3.382,1,1,T3
B1_1X1_P04,T6,B1,1X1,P04,Pocillopora,Enriched,7.379,0,1,T3
B1_1X1_P04,T9,B1,1X1,P04,Pocillopora,Enriched,12.457,0,1,T3
B1_1X1_P05,T3,B1,1X1,P05,Pocillopora,Enriched,4.753,1,1,T3
B1_1X1_P05,T6,B1,1X1,P05,Pocillopora,Enriched,10.179,0,1,T3
B1_1X1_P05,T9,B1,1X1,P05,Pocillopora,Enriched,16.885,0,1,T3
B1_1X1_P06,T6,B1,1X1,P06,Pocillopora,Enriched,3.582,0,1,T3
