Un_ID,Timepoint,Un_id_tp,Block_plot,Herbivory_trt,Coral_Id,Coral_genus,Enrichment_trt,Recruitment,Alive,Notes1,Rec_timepoint
A3_open_P14,T6,A3_open_P14_T6,A3,open,P14,Pocillopora,Enriched,1,1,,T6
A3_open_P15,T9,A3_open_P15_T9,A3,open,P15,Pocillopora,Enriched,1,1,,T9
A3_open_P02,T3,A3_open_P2_T3,A3,open,P02,Pocillopora,Enriched,1,1,,T3
A3_open_P02,T9,A3_open_P2_T9,A3,open,P02,Pocillopora,Enriched,0,1,,T3
A3_open_P02,T6,A3_open_P2_T6,A3,open,P02,Pocillopora,Enriched,0,1,,T3
A3_open_P03,T9,A3_open_P3_T9,A3,open,P03,Pocillopora,Enriched,0,1,,T3
A3_open_P03,T6,A3_open_P3_T6,A3,open,P03,Pocillopora,Enriched,0,1,,T3
A3_open_P03,T3,A3_open_P3_T3,A3,open,P03,Pocillopora,Enriched,1,1,,T3
A3_open_P04,T9,A3_open_P4_T9,A3,open,P04,Pocillopora,Enriched,0,1,,T3
A3_open_P04,T3,A3_open_P4_T3,A3,open,P04,Pocillopora,Enriched,1,1,,T3
A3_open_P04,T6,A3_open_P4_T6,A3,open,P04,Pocillopora,Enriched,0,1,,T3
A3_open_P05,T3,A3_open_P5_T3,A3,open,P05,Pocillopora,Enriched,1,1,,T3
A3_open_P05,T6,A3_open_P5_T6,A3,open,P05,Pocillopora,Enriched,0,1,,T3
A3_open_P05,T9,A3_open_P5_T9,A3,open,P05,Pocillopora,Enriched,0,1,,T3
A3_open_P06,T3,A3_open_P6_T3,A3,open,P06,Pocillopora,Enriched,1,1,,T3
A3_open_P06,T6,A3_open_P6_T6,A3,open,P06,Pocillopora,Enriched,0,0,,T3
A3_open_P06,T9,A3_open_P6_T9,A3,open,P06,Pocillopora,Enriched,0,0,,T3
A3_open_P07,T6,A3_open_P7_T6,A3,open,P07,Pocillopora,Enriched,1,1,,T6
A3_open_P07,T9,A3_open_P7_T9,A3,open,P07,Pocillopora,Enriched,0,1,,T6
A3_open_P08,T6,A3_open_P8_T6,A3,open,P08,Pocillopora,Enriched,1,1,,T6
A3_open_P08,T9,A3_open_P8_T9,A3,open,P08,Pocillopora,Enriched,0,1,,T6
A3_open_P09,T9,A3_open_P9_T9,A3,open,P09,Pocillopora,Enriched,0,1,,T6
A3_open_P09,T6,A3_open_P9_T6,A3,open,P09,Pocillopora,Enriched,1,1,,T6
A4_1X1_P01,T9,A4_1X1_P1_T9,A4,1X1,P01,Pocillopora,Ambient,0,1,,T6
A4_1X1_P01,T6,A4_1X1_P1_T6,A4,1X1,P01,Pocillopora,Ambient,1,1,,T6
A4_1X1_P11,T6,A4_1X1_P11_T6,A4,1X1,P11,Pocillopora,Ambient,0,1,,T3
A4_1X1_P11,T9,A4_1X1_P11_T9,A4,1X1,P11,Pocillopora,Ambient,0,1,,T3
A4_1X1_P11,T3,A4_1X1_P11_T3,A4,1X1,P11,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P12,T3,A4_1X1_P12_T3,A4,1X1,P12,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P12,T9,A4_1X1_P12_T9,A4,1X1,P12,Pocillopora,Ambient,0,1,,T3
A4_1X1_P12,T6,A4_1X1_P12_T6,A4,1X1,P12,Pocillopora,Ambient,0,1,,T3
A4_1X1_P13,T9,A4_1X1_P13_T9,A4,1X1,P13,Pocillopora,Ambient,0,1,,T3
A4_1X1_P13,T6,A4_1X1_P13_T6,A4,1X1,P13,Pocillopora,Ambient,0,1,,T3
A4_1X1_P13,T3,A4_1X1_P13_T3,A4,1X1,P13,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P14,T3,A4_1X1_P14_T3,A4,1X1,P14,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P14,T6,A4_1X1_P14_T6,A4,1X1,P14,Pocillopora,Ambient,0,1,,T3
A4_1X1_P14,T9,A4_1X1_P14_T9,A4,1X1,P14,Pocillopora,Ambient,0,1,,T3
A4_1X1_P16,T6,A4_1X1_P16_T6,A4,1X1,P16,Pocillopora,Ambient,0,1,,T3
A4_1X1_P16,T9,A4_1X1_P16_T9,A4,1X1,P16,Pocillopora,Ambient,0,1,,T3
A4_1X1_P16,T3,A4_1X1_P16_T3,A4,1X1,P16,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P17,T9,A4_1X1_P17_T9,A4,1X1,P17,Pocillopora,Ambient,0,1,,T3
